name,path,length
d1jkga_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1jkga_,139
d2bvya1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2bvya1,82
d1wpna_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1wpna_,187
d1xe1a_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1xe1a_,91
d1ns5a_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1ns5a_,153
d1ra0a2,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1ra0a2,320
d3ue2a_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3ue2a_,118
d1zwza1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1zwza1,125
d1dxya1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1dxya1,199
d1em2a_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1em2a_,214
d2vgna3,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2vgna3,104
d2gf4a1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2gf4a1,89
d1wf3a1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1wf3a1,178
d2oz4a1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2oz4a1,84
d3l4da_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3l4da_,448
d1y0ya3,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1y0ya3,255
d1smyc_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1smyc_,1119
d3bt6a_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3bt6a_,342
d2cdqa1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2cdqa1,304
d2gx6a_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2gx6a_,271
d2fhfa4,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2fhfa4,118
d2joza1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2joza1,126
d1dr9a2,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1dr9a2,95
d1gwua_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1gwua_,306
d2vzsa3,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2vzsa3,103
d1we8a_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1we8a_,104
d1p1ma1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1p1ma1,123
d3rnja_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3rnja_,67
d1vkza3,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1vkza3,220
d1wela1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1wela1,112
d1jnsa_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d1jnsa_,92
d3dplr_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3dplr_,87
d2a07f1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2a07f1,82
d3t3la_,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d3t3la_,121
d2vbaa1,/group/bioinf_protstr/martin/ss_scope_benchmark/pdb/d2vbaa1,253
